town,total_dwelling_unit_2017,total_dwelling_unit_2018,total_dwelling_unit_2019,total_dwelling_unit_2020,total_dwelling_unit_2021,dwelling_units_completed_2017,dwelling_units_completed_2018,dwelling_units_completed_2019,dwelling_units_completed_2020,dwelling_units_completed_2021,sold_flat_2017,sold_flat_2018,sold_flat_2019,sold_flat_2020,sold_flat_2021
ANG MO KIO,50733,50728,50726,51311,51310,712,0,0,590,0,46548,46543,46491,47070,47058
BEDOK,61828,62156,62816,63552,64415,728,330,660,736,919,57916,58244,58599,59328,60245
BISHAN,20072,20072,20072,20072,20072,0,0,0,0,0,19268,19268,19263,19263,19263
BUKIT BATOK,40612,43624,44285,45585,45585,6884,3014,662,1300,0,39555,42231,42891,43865,43864
BUKIT PANJANG,35325,35325,35325,35325,36896,0,0,0,0,1571,35028,35028,35028,35027,36597
CENTRAL AREA,12004,12003,12003,12002,12001,0,0,0,0,0,8892,8891,8887,8885,8884
CHOA CHU KANG,48900,48900,48900,49026,49026,0,0,0,126,0,47520,47520,47520,47645,47647
CLEMENTI,26727,26601,26730,26730,26730,502,0,385,0,0,25779,25653,25775,25771,25771
GEYLANG,30304,30189,30829,30829,31514,0,108,642,0,686,26410,26517,27147,27112,27794
HOUGANG,54328,56561,57272,57557,57557,467,2234,711,285,0,53128,55050,55754,56035,56035
JURONG EAST,23897,24122,24122,24122,24122,0,225,0,0,0,23413,23475,23475,23468,23468
KALLANG,39194,39931,39931,39931,40171,0,738,0,0,243,32760,33497,33493,33487,33729
PASIR RIS,29654,29654,29654,29654,29654,0,0,0,0,0,29433,29433,29433,29433,29433
MARINE PARADE,7862,7861,7860,7859,7857,0,0,0,0,0,6537,6536,6535,6534,6532
JURONG WEST,74301,75208,75208,75206,75206,1223,907,0,0,0,71342,72248,72247,72230,72230
PUNGGOL,49229,49909,50663,52586,55811,5844,680,754,1923,3225,46962,47642,48396,50319,53543
QUEENSTOWN,32678,32676,33164,33973,36378,1179,0,489,810,2409,30356,30354,30820,31626,34027
SEMBAWANG,26834,27351,30020,30020,30330,3962,518,2669,0,310,24996,25513,28182,28182,28492
SENGKANG,66605,67115,69196,69196,70189,624,511,2081,0,993,65529,66039,68120,68120,69113
SERANGOON,21634,21634,21632,21632,21632,150,0,0,0,0,21115,21115,21110,21110,21110
TAMPINES,68812,70754,72683,73968,75342,902,1943,1930,1286,1374,66675,68170,70095,71376,72750
TOA PAYOH,37900,39454,39737,40917,42185,542,557,1286,1178,1269,33789,34343,35616,36791,38054
WOODLANDS,68153,69900,69900,69900,70072,3701,1746,0,0,172,64674,65978,65975,65975,66144
YISHUN,62786,64334,65158,65158,65614,1882,1548,824,0,456,61015,62134,62955,62947,63402
BUKIT MERAH,54423,54734,54227,54228,54157,2023,689,0,0,0,45181,45492,44971,44967,44960
BUKIT TIMAH,2555,2554,2554,2554,2554,0,0,0,0,0,2555,2554,2554,2554,2554
